7zip	23.01+dfsg-11
libdb5.3t64	5.3.28+dfsg2-7
libdb5.3t64	5.3.28+dfsg2-7
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-1-3	1.14.10-4ubuntu4.1
libdbus-glib-1-2	0.112-3build2
libdbusmenu-glib4	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4	18.10.20180917~bzr492+repack1-3.1ubuntu5
libdconf1	0.40.0-4ubuntu0.1
libde265-0	1.0.15-1build3
libde265-0	1.0.15-1build3
libdebconfclient0	0.271ubuntu3
libdecor-0-0	0.2.2-1build2
libdecor-0-0	0.2.2-1build2
libdecor-0-plugin-1-gtk	0.2.2-1build2
libdecor-0-plugin-1-gtk	0.2.2-1build2
libdee-1.0-4	1.2.7+17.10.20170616-7build5
libdeflate0	1.19-1build1.1
libdeflate0	1.19-1build1.1
libdevmapper-event1.02.1	2:1.02.185-3ubuntu3.2
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2
libdpkg-perl	1.22.6ubuntu6.5
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.1
libdrm-amdgpu1	2.4.125-1ubuntu0.1~24.04.1
libdrm-common	2.4.125-1ubuntu0.1~24.04.1
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.1
libdrm-intel1	2.4.125-1ubuntu0.1~24.04.1
libdrm-nouveau2	2.4.125-1ubuntu0.1~24.04.1
libdrm-radeon1	2.4.125-1ubuntu0.1~24.04.1
libdrm2	2.4.125-1ubuntu0.1~24.04.1
libdrm2	2.4.125-1ubuntu0.1~24.04.1
libduktape207	2.7.0+tests-0ubuntu3
libduktape207	2.7.0+tests-0ubuntu3
libdv4t64	1.0.0-17.1build1
libdv4t64	1.0.0-17.1build1
libdw1t64	0.190-1.1ubuntu0.1
libdw1t64	0.190-1.1ubuntu0.1
libe-book-0.1-1	0.1.3-2build6
libeatmydata1	131-1ubuntu1
libebackend-1.2-11t64	3.52.3-0ubuntu1.1
libebook-1.2-21t64	3.52.3-0ubuntu1.1
libebook-contacts-1.2-4t64	3.52.3-0ubuntu1.1
libecal-2.0-3	3.52.3-0ubuntu1.1
