7zip	23.01+dfsg-11
libwebrtc-audio-processing1	0.3.1-0ubuntu6
libwhoopsie-preferences0	23build3
libwhoopsie0	0.2.77ubuntu0.1
libwine	9.0~repack-4build3
libwine	9.0~repack-4build3
libwnck-3-0	43.0-3build4
libwnck-3-common	43.0-3build4
libwoff1	1.0.2-2build1
libwpd-0.10-10	0.10.3-2build2
libwpg-0.3-3	0.3.4-3build1
libwps-0.4-4	0.4.14-2build1
libwrap0	7.6.q-33
libwww-perl	6.76-1
libwww-robotrules-perl	6.02-1
libx11-6	2:1.8.7-1build1
libx11-6	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1	2:1.8.7-1build1
libx11-xcb1	2:1.8.7-1build1
libx264-164	2:0.164.3108+git31e19f9-1
libx264-164	2:0.164.3108+git31e19f9-1
libx265-199	3.5-2build1
libx265-199	3.5-2build1
libxapian30	1.4.22-1build1
libxatracker2	25.1.7-1ubuntu2~24.04.1
libxau6	1:1.0.9-1build6
libxau6	1:1.0.9-1build6
libxaw7	2:1.0.14-1build2
libxcb-damage0	1.15-1ubuntu2
libxcb-dri2-0	1.15-1ubuntu2
libxcb-dri3-0	1.15-1ubuntu2
libxcb-dri3-0	1.15-1ubuntu2
libxcb-glx0	1.15-1ubuntu2
libxcb-glx0	1.15-1ubuntu2
libxcb-present0	1.15-1ubuntu2
libxcb-present0	1.15-1ubuntu2
libxcb-randr0	1.15-1ubuntu2
libxcb-randr0	1.15-1ubuntu2
libxcb-render0	1.15-1ubuntu2
libxcb-render0	1.15-1ubuntu2
libxcb-shape0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb-sync1	1.15-1ubuntu2
libxcb-sync1	1.15-1ubuntu2
libxcb-util1	0.4.0-1build3
libxcb-xfixes0	1.15-1ubuntu2
libxcb-xfixes0	1.15-1ubuntu2
libxcb1	1.15-1ubuntu2
libxcb1	1.15-1ubuntu2
libxcomposite1	1:0.4.5-1build3
libxcomposite1	1:0.4.5-1build3
libxcursor1	1:1.2.1-1build1
libxcursor1	1:1.2.1-1build1
libxcvt0	0.1.2-1build1
libxdamage1	1:1.1.6-1build1
libxdamage1	1:1.1.6-1build1
libxdmcp6	1:1.1.3-0ubuntu6
libxdmcp6	1:1.1.3-0ubuntu6
libxext6	2:1.3.4-1build2
libxext6	2:1.3.4-1build2
libxfce4panel-2.0-4	4.18.4-1ubuntu0.1
libxfce4ui-2-0	4.18.4-1build4
libxfce4ui-common	4.18.4-1build4
libxfce4ui-utils	4.18.4-1build4
libxfce4util-bin	4.18.1-2build3
libxfce4util-common	4.18.1-2build3
libxfce4util7	4.18.1-2build3
libxfconf-0-3	4.18.1-1build3
libxfixes3	1:6.0.0-2build1
libxfixes3	1:6.0.0-2build1
libxfont2	1:2.0.6-1build1
libxft2	2.3.6-1build1
libxi6	2:1.8.1-1build1
libxi6	2:1.8.1-1build1
libxinerama1	2:1.1.4-3build1
libxinerama1	2:1.1.4-3build1
libxkbcommon0	1.6.0-1build1
libxkbcommon0	1.6.0-1build1
libxkbfile1	1:1.1.0-1build4
libxkbregistry0	1.6.0-1build1
libxkbregistry0	1.6.0-1build1
libxklavier16	5.4-5build2
libxml-parser-perl	2.47-1build3
libxml-twig-perl	1:3.52-2
libxml-xpathengine-perl	0.14-2
libxml2	2.9.14+dfsg-1.3ubuntu3.7
libxml2	2.9.14+dfsg-1.3ubuntu3.7
libxmlb2	0.3.18-1
libxmlsec1t64	1.2.39-5build2
libxmlsec1t64-nss	1.2.39-5build2
libxmlsec1t64-openssl	1.2.39-5build2
libxmu6	2:1.1.3-3build2
libxmuu1	2:1.1.3-3build2
libxnvctrl0	510.47.03-0ubuntu4
libxpm4	1:3.5.17-1build2
libxpm4	1:3.5.17-1build2
libxpresent1	1.0.0-2build2
libxrandr2	2:1.5.2-2build1
libxrandr2	2:1.5.2-2build1
libxrender1	1:0.9.10-1.1build1
libxrender1	1:0.9.10-1.1build1
libxres1	2:1.2.1-1build1
libxshmfence1	1.3-1build5
libxshmfence1	1.3-1build5
libxslt1.1	1.1.39-0exp1ubuntu0.24.04.3
libxss1	1:1.2.3-1build3
libxss1	1:1.2.3-1build3
libxt6t64	1:1.2.1-1.2build1
libxtables12	1.8.10-3ubuntu2
libxtst6	2:1.2.3-1.1build1
libxtst6	2:1.2.3-1.1build1
libxv1	2:1.0.11-1.1build1
libxv1	2:1.0.11-1.1build1
libxvidcore4	2:1.3.7-1build1
libxvidcore4	2:1.3.7-1build1
libxvmc1	2:1.0.12-2build3
libxxf86dga1	2:1.1.5-1build1
libxxf86vm1	1:1.1.4-1build4
libxxf86vm1	1:1.1.4-1build4
libxxhash0	0.8.2-2build1
libyajl2	2.1.0-5build1
libyaml-0-2	0.2.5-1build1
libyelp0	42.2-1ubuntu0.24.04.1
libz-mingw-w64	1.3.1+dfsg-1
libzeitgeist-2.0-0	1.0.4-5ubuntu5
libzstd1	1.5.5+dfsg2-2build1.1
libzstd1	1.5.5+dfsg2-2build1.1
libzvbi-common	0.2.42-2
libzvbi0t64	0.2.42-2
libzvbi0t64	0.2.42-2
light-locker	1.8.0-3ubuntu3
light-locker-settings	1.5.0-0ubuntu4
lightdm	1.30.0-0ubuntu14
linux-base	4.5ubuntu9+24.04.1
linux-headers-6.8.0-100	6.8.0-100.100
linux-headers-6.8.0-100-generic	6.8.0-100.100
linux-headers-6.8.0-94	6.8.0-94.96
linux-headers-6.8.0-94-generic	6.8.0-94.96
linux-headers-generic	6.8.0-100.100
linux-headers-virtual	6.8.0-100.100
linux-image-6.8.0-100-generic	6.8.0-100.100
linux-image-6.8.0-94-generic	6.8.0-94.96
linux-image-virtual	6.8.0-100.100
linux-libc-dev	6.8.0-100.100
linux-modules-6.8.0-100-generic	6.8.0-100.100
linux-modules-6.8.0-94-generic	6.8.0-94.96
linux-tools-6.8.0-100	6.8.0-100.100
linux-tools-6.8.0-100-generic	6.8.0-100.100
linux-tools-6.8.0-94	6.8.0-94.96
linux-tools-6.8.0-94-generic	6.8.0-94.96
linux-tools-common	6.8.0-100.100
linux-virtual	6.8.0-100.100
lm-sensors	1:3.6.0-9build1
locales	2.39-0ubuntu8.7
login	1:4.13+dfsg1-4ubuntu3.2
logrotate	3.21.0-2build1
logsave	1.47.0-2.4~exp1ubuntu4.1
lp-solve	5.5.2.5-2ubuntu0.1
lsb-release	12.0-2
lshw	02.19.git.2021.06.19.996aaad9c7-2build3
lsof	4.95.0-1build3
lto-disabled-list	47
lvm2	2.03.16-3ubuntu3.2
lxd-agent-loader	0.7ubuntu0.1
lxd-installer	4ubuntu0.1
make	4.3-4.1build2
man-db	2.12.0-4build2
manpages	6.7-2
manpages-dev	6.7-2
mawk	1.3.4.20240123-1build1
mdadm	4.3-1ubuntu2.1
media-types	10.1.0
mesa-libgallium	25.2.8-0ubuntu0.24.04.1
mesa-libgallium	25.2.8-0ubuntu0.24.04.1
mesa-va-drivers	25.2.8-0ubuntu0.24.04.1
mesa-va-drivers	25.2.8-0ubuntu0.24.04.1
mesa-vdpau-drivers	25.2.8-0ubuntu0.24.04.1
mesa-vdpau-drivers	25.2.8-0ubuntu0.24.04.1
mesa-vulkan-drivers	25.2.8-0ubuntu0.24.04.1
mesa-vulkan-drivers	25.2.8-0ubuntu0.24.04.1
mobile-broadband-provider-info	20230416-1
modemmanager	1.23.4-0ubuntu2
mokutil	0.6.0-2build3
motd-news-config	13ubuntu10.4
mount	2.39.3-9ubuntu6.4
mousepad	0.6.1-1build2
mousetweaks	3.32.0-4build2
mtr-tiny	0.95-1.1ubuntu0.1
multipath-tools	0.9.4-5ubuntu8.1
nano	7.2-2ubuntu0.1
nautilus-data	1:46.4-0ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
ncurses-term	6.4+20240113-1ubuntu2
needrestart	3.6-7ubuntu4.5
net-tools	2.10-0.1ubuntu4.4
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netplan-generator	1.1.2-8ubuntu1~24.04.1
netplan.io	1.1.2-8ubuntu1~24.04.1
network-manager	1.46.0-1ubuntu2.5
network-manager-gnome	1.34.0-1ubuntu3
network-manager-pptp	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1build1
node-abbrev	1.1.1+~1.1.2-1
node-acorn	8.8.1+ds+~cs25.17.7-2
node-agent-base	7.1.0~0~2023071921-5
node-ajv	8.12.0~ds+~2.1.1-4
node-ajv-keywords	5.1.0-4
node-ampproject-remapping	2.2.0+~cs5.15.37-1
node-ansi-escapes	5.0.0+really.4.3.1-1
node-ansi-regex	5.0.1-1
node-ansi-styles	6.2.1-2
node-anymatch	3.1.3+~cs4.6.1-2
node-aproba	2.0.0-3
node-archy	1.0.0-6
node-are-we-there-yet	3.0.1+~1.1.0-1
node-argparse	2.0.1-2
node-arrify	2.0.1-3
node-assert	2.0.0+~cs3.9.8-2
node-async	0.8.0-6
node-async-each	1.0.3-3
node-auto-bind	4.0.0-2
node-babel-helper-define-polyfill-provider	0.3.3~0~20220913+ds1-1
node-babel-plugin-add-module-exports	1.0.4+dfsg1~cs5.8.0-4
node-babel-plugin-lodash	3.3.4+~cs2.0.1-7
node-babel-plugin-polyfill-corejs2	0.3.3~0~20220913+ds1-1
node-babel-plugin-polyfill-corejs3	0.6.0~0~20220913+ds1-1
node-babel-plugin-polyfill-regenerator	0.4.1~0~20220913+ds1-1
node-babel7	7.20.15+ds1+~cs214.269.168-6build1
node-babel7-runtime	7.20.15+ds1+~cs214.269.168-6build1
node-balanced-match	2.0.0-1
node-base	3.0.0-3
node-base64-js	1.5.1+dfsg+~1.3.0-2
node-binary-extensions	2.2.0-2
node-brace-expansion	2.0.1+~1.1.0-1
node-braces	3.0.2+~3.0.1-1
node-browserslist	4.22.1+~cs6.1.28-1
node-builtins	5.0.1-1
node-busboy	1.6.0+~cs2.6.0-2
node-cacache	17.0.3+~cs10.3.7-1
node-cache-base	4.0.2-1
node-camelcase	7.0.0-3
node-caniuse-lite	1.0.30001571+dfsg+~1.0.5-1
node-chalk	5.3.0-1build1
node-chokidar	3.6.0-2
node-chownr	2.0.0-2
node-chrome-trace-event	1.0.3-2
node-ci-info	4.0.0+~cs1.1.0-1build2
node-cjs-module-lexer	1.2.3+dfsg-1
node-cli-boxes	3.0.0-1build2
node-cli-cursor	4.0.0-3
node-cli-table	0.3.11+~cs0.13.4-3
node-cli-truncate	2.1.0-5
node-cliui	7.0.4+repack+~cs3.1.0-4
node-clone	2.1.2+~2.1.2-1
node-clone-deep	4.0.1+~cs7.0.2-1
node-collection-visit	1.0.0-4
node-color-convert	2.0.1+~cs2.0.0-2
node-color-name	1.1.4+~1.1.1-2
node-colors	1.4.0-4
node-columnify	1.6.0+~1.5.1-1
node-commander	9.4.1-1
node-commondir	1.0.1+~1.0.0-1
node-concat-stream	2.0.0+~2.0.0-2
node-console-control-strings	1.1.0-3
node-convert-source-map	1.9.0+~1.5.2-1
node-copy-concurrently	1.0.5-9
node-core-js	3.33.2-1build2
node-core-js-compat	3.33.2-1build2
node-core-js-pure	3.33.2-1build2
node-core-util-is	1.0.3-1
node-coveralls	3.1.1-2build1
node-css-loader	6.8.1+~cs14.0.17-1
node-css-selector-tokenizer	0.8.0+~cs4.8.3-1
node-data-uri-to-buffer	5.0.1~0~2023071921-5
node-debbundle-es-to-primitive	1.2.1+~cs9.7.25-2
node-debug	4.3.4+~cs4.1.7-1
node-decamelize	4.0.0-2
node-decompress-response	6.0.0-2
node-deep-equal	2.2.3+~cs43.15.94-1
node-deep-is	0.1.4-1
node-defaults	1.0.4+~1.0.3-1
node-define-properties	1.2.1+~cs2.2.3-1
node-define-property	2.0.2+really+2.0.2-3
node-defined	1.0.1+~1.0.0-1
node-del	7.0.0-5
node-delegates	1.0.0-3
node-depd	2.0.0-2
node-diff	5.0.0~dfsg+~5.0.1-4
node-doctrine	3.0.0-4
node-electron-to-chromium	1.4.616-1
node-encoding	0.1.13-2
node-end-of-stream	1.4.4+~1.4.1-1
node-enhanced-resolve	5.15.0-1
node-err-code	2.0.3+dfsg-3
node-errno	1.0.0-3
node-error-ex	1.3.2-4
node-es-abstract	1.20.4+~cs26.27.47-1
node-es-module-lexer	1.1.0+dfsg-3
node-es6-error	4.1.1-5
node-escape-string-regexp	4.0.0-2
node-escodegen	2.1.0+dfsg+~0.0.8-1
node-eslint-scope	7.1.1+~3.7.4-1
node-eslint-utils	3.0.0-3
node-eslint-visitor-keys	3.3.0+~1.0.0-1
node-espree	9.4.1~dfsg-2
node-esprima	4.0.1+ds+~4.0.3-2
node-esquery	1.4.2~ds-1
node-esrecurse	4.3.0-2
node-estraverse	5.3.0+ds+~5.1.1-1
node-esutils	2.0.3+~2.0.0-1
node-events	3.3.0+~3.0.0-3
node-fancy-log	1.3.3+~cs1.3.1-2
node-fast-deep-equal	3.1.3-3
node-fast-levenshtein	2.0.6+ds-3
node-fetch	3.3.2+~cs11.4.11-1
node-file-entry-cache	6.0.1+~3.0.4+~2.0.0+~1.0.0+~2.0.1-1
node-fill-range	7.0.1+~7.0.0-1
node-find-cache-dir	3.3.2+~3.2.1-1
node-find-up	6.3.0-7
node-flat-cache	3.0.4~6.0.1+~3.0.4+~2.0.0+~1.0.0+~2.0.1-1
node-flatted	3.2.7~ds-1
node-for-in	1.0.2-4
node-for-own	1.0.0-3
node-foreground-child	3.1.1-2
node-fs-readdir-recursive	1.1.0+~1.1.0-1
node-fs-write-stream-atomic	1.0.10-6
node-fs.realpath	1.0.0-3
node-function-bind	1.1.2+~cs2.1.14-1
node-functional-red-black-tree	1.0.1+20181105-7
node-gauge	4.0.4-2
node-get-caller-file	2.0.5+~cs1.1.1-4
node-get-stream	6.0.1-1
node-get-value	1:3.0.1-4
node-glob	8.1.0+~cs8.5.15-1
node-glob-parent	6.0.2+~5.1.1-2
node-globals	13.23.0-1
node-globby	13.1.3+~cs16.25.40-2
node-got	11.8.5+~cs58.13.36-3
node-graceful-fs	4.2.10-1
node-growl	1.10.5-4
node-gyp	9.3.0-3
node-has-flag	4.0.0-3
node-has-unicode	2.0.1-5
node-has-value	2.0.2-4
node-has-values	2.0.1-4
node-hosted-git-info	6.1.1-2
node-http-proxy-agent	7.0.0~0~2023071921-5
node-https-proxy-agent	7.0.1~0~2023071921-5
node-iconv-lite	0.6.3-3
node-icss-utils	5.1.0+~5.1.0-1
node-ieee754	1.2.1-3
node-iferr	1.0.2+~1.0.2-1
node-ignore	5.2.1-1
node-imurmurhash	0.1.4+dfsg+~0.1.1-2
node-indent-string	4.0.0-2
node-inflight	1.0.6-2
node-inherits	2.0.4-6
node-ini	3.0.1-2
node-interpret	2.2.0-3
node-ip	2.0.0+~1.1.0-1ubuntu1
node-ip-regex	4.3.0+~4.1.1-1
node-is-arrayish	0.3.2-3
node-is-binary-path	2.1.0-5
node-is-buffer	2.0.5-2
node-is-descriptor	3.0.0-2
node-is-extendable	1.0.1-3
node-is-extglob	2.1.1-5
node-is-glob	4.0.3-2
node-is-number	7.0.0-4
node-is-path-cwd	2.2.0-2
node-is-path-inside	3.0.3-2
node-is-plain-obj	3.0.0-2
node-is-plain-object	5.0.0-7
node-is-primitive	3.0.1-3
node-is-stream	3.0.0-4
node-is-typedarray	1.0.0-4
node-is-windows	1.0.2+~cs1.0.0-1
node-isarray	2.0.5-4
node-isexe	2.0.0+~2.0.1-5
node-isobject	4.0.0-2
node-istanbul	0.4.5+repack10+~cs98.25.59-2
node-jest-debbundle	29.6.2~ds1+~cs73.45.28-5
node-jest-worker	29.6.2~ds1+~cs73.45.28-5
node-js-tokens	8.0.0-2
node-js-yaml	4.1.0+dfsg+~4.0.5-7
node-jsesc	3.0.2+~3.0.1-1
node-json-buffer	3.0.1+~3.0.0-1
node-json-parse-better-errors	1.0.2+~cs3.3.1-2
node-json-schema	0.4.0+~7.0.11-1
node-json-schema-traverse	1.0.0-3
node-json-stable-stringify	1.0.2+repack1+~cs1.0.34-2
node-json5	2.2.3+dfsg-1build1
node-jsonify	0.0.1-1
node-jsonparse	1.3.1-10
node-kind-of	6.0.3+dfsg-2
node-lcov-parse	1.0.0+20170612git80d039574ed9-6
node-levn	0.4.1+dfsg-2
node-loader-runner	4.3.0-1
node-locate-path	7.1.1-2
node-lodash	4.17.21+dfsg+~cs8.31.198.20210220-9
node-lodash-packages	4.17.21+dfsg+~cs8.31.198.20210220-9
node-log-driver	1.2.7+git+20180219+bba1761737-7
node-lowercase-keys	2.0.0-2
node-lru-cache	7.14.1-1
node-make-dir	3.1.0-3
node-map-visit	1.0.0-4
node-memfs	3.4.12+~cs1.0.3-1
node-memory-fs	0.5.0+~0.3.3-2
node-merge-stream	2.0.0+~1.1.2-2
node-micromatch	4.0.5+~4.0.2-1
node-mime	3.0.0+dfsg+~cs6.97.2-1
node-mime-types	2.1.35-2
node-mimic-response	3.1.0-8
node-minimatch	9.0.3-4build5
node-minimist	1.2.8+~cs5.3.5-1
node-minipass	3.3.6+~cs9.4.19-1
node-mixin-deep	2.0.1-3
node-mkdirp	1.0.4+~1.0.2-4
node-move-concurrently	1.0.1-5
node-ms	2.1.3+~cs0.7.31-3
node-mute-stream	0.0.8+~0.0.1-3
node-n3	1.16.3+~1.2.3+~1.10.4-1
node-negotiator	0.6.3+~0.6.1-1
node-neo-async	2.6.2+~cs3.0.0-3
node-nopt	5.0.0-4
node-normalize-package-data	4.0.1+~2.4.1-1
node-normalize-path	3.0.0+~3.0.0-1
node-npm-bundled	2.0.1-2
node-npm-package-arg	10.0.0+~3.0.0-2
node-npm-run-path	5.1.0+~4.0.0-8
node-npmlog	7.0.1+~4.1.4-1
node-object-assign	4.1.1-7
node-object-inspect	1.12.2+~cs1.8.1-1
node-object-visit	1.0.1-5
node-once	1.4.1-1
node-opener	1.5.2+~1.4.0-1
node-optimist	0.6.1+~0.0.30-2
node-optionator	0.9.1+dfsg+~cs1.2.3-1
node-osenv	0.1.5+~0.1.1-1
node-p-cancelable	2.1.1-1
node-p-limit	4.0.0+~cs4.0.0-5
node-p-locate	6.0.0-12
node-p-map	4.0.0+~3.1.0+~3.0.1-1
node-parse-json	5.2.0+~cs5.1.7-1
node-pascalcase	1.0.0-1
node-path-dirname	1.0.2-2
node-path-exists	5.0.0-8
node-path-is-absolute	2.0.0-2
node-path-is-inside	1.0.2+~1.0.0-1
node-path-type	4.0.0-3
node-picocolors	1.0.0-4
node-pify	5.0.0+~cs5.0.1-1
node-pkg-dir	5.0.0-2
node-postcss	8.4.31+~cs8.0.26-1
node-postcss-modules-extract-imports	3.0.0-2
node-postcss-modules-values	4.0.0+~4.0.0-1
node-postcss-value-parser	4.2.0-1
node-prelude-ls	1.2.1+dfsg-3
node-process-nextick-args	2.0.1-3
node-progress	2.0.3-2
node-promise-inflight	1.0.1+~1.0.0-1
node-promise-retry	2.0.1-4
node-promzard	0.3.0-2
node-prr	1.0.1-3
node-pump	3.0.0-5
node-punycode	2.2.3-2
node-quick-lru	6.1.1-4
node-randombytes	2.1.0+~2.0.0-2
node-re2	1.20.10+~cs2.13.13-1
node-read	1.0.7-5
node-read-package-json	5.0.2+~2.0.0-1
node-read-pkg	5.2.0-2
node-readable-stream	3.6.0+~cs3.0.0-4build1
node-readdirp	3.6.0-1
node-rechoir	0.8.0+~0.6.1-2
node-regenerate	1.4.2-3
node-regenerate-unicode-properties	10.1.0+ds-1
node-regenerator-runtime	0.15.2+~0.10.8-1
node-regenerator-transform	0.15.2+~0.10.8-1
node-regexpp	3.2.0-5
node-regexpu-core	5.2.2-3
node-regjsgen	0.7.1+ds-1
node-regjsparser	0.9.1+ds-2
node-repeat-string	1.6.1+repack-1
node-require-directory	2.1.1+~2.1.2-1
node-require-from-string	2.0.2+~1.2.1-1
node-resolve	1.22.8+~cs5.34.15-2
node-resolve-cwd	3.0.0-2
node-resolve-from	5.0.0+~3.1.0+~3.3.0+~2.0.0-1
node-restore-cursor	4.0.0-4
node-resumer	0.0.0-6
node-retry	0.13.1+~0.12.1-1
node-rimraf	3.0.2-2
node-run-queue	2.0.0-3
node-safe-buffer	5.2.1+~cs2.1.2-3
node-schema-utils	4.2.0~ds-3build3
node-sellside-emitter	1.2.1-3
node-semver	7.5.4+~7.5.0-2
node-serialize-javascript	6.0.1-1
node-set-blocking	2.0.0-2
node-set-immediate-shim	2.0.0-2
node-set-value	4.1.0+~4.0.1-2
node-shebang-command	2.0.0-1
node-shebang-regex	3.0.0-2
node-shell-quote	1.7.4+~1.7.1-1
node-signal-exit	4.1.0-6
node-slash	4.0.0-3
node-slice-ansi	5.0.0+~cs9.0.0-5
node-source-list-map	2.0.1+dfsg+~0.1.2-1
node-source-map	0.7.0++dfsg2+really.0.6.1-15
node-source-map-support	0.5.21+ds+~0.5.4-1
node-spdx-correct	3.1.1-2
node-spdx-exceptions	2.3.0-2
node-spdx-expression-parse	3.0.1+~3.0.1-1
node-spdx-license-ids	3.0.12-1
node-sprintf-js	1.1.2+ds1+~1.1.2-1
node-ssri	9.0.1-2
node-stack-utils	2.0.6+~2.0.1-1
node-string-decoder	1.3.0-6
node-string-width	4.2.3+~cs13.2.3-1
node-strip-ansi	6.0.1-2
node-strip-bom	4.0.0-2
node-strip-json-comments	4.0.0-4
node-supports-color	8.1.1+~8.1.1-1
node-tap	16.3.7+ds1+~cs50.9.19-4
node-tap-mocha-reporter	5.0.3+~2.0.2-2
node-tap-parser	11.0.2+~cs2.1.4-1
node-tapable	2.2.1-3
node-tape	5.6.1+~cs8.20.19-1
node-tar	6.1.13+~cs7.0.5-3
node-terser	5.19.2-1
node-text-table	0.2.0-4
node-through	2.3.8+~cs0.0.30-1
node-time-stamp	2.2.0-2
node-to-fast-properties	3.0.1-3
node-to-regex-range	5.0.1-4
node-tslib	2.4.1-1
node-type-check	0.4.0+dfsg-3
node-typedarray	0.0.7-1
node-typedarray-to-buffer	4.0.0-2
node-undici	5.26.3+dfsg1+~cs23.10.12-2
node-unicode-canonical-property-names-ecmascript	2.0.0-2
node-unicode-match-property-ecmascript	2.0.0-2
node-unicode-match-property-value-ecmascript	2.1.0+ds-1
node-unicode-property-aliases-ecmascript	2.1.0+ds-1
node-union-value	2.0.1-4
node-unique-filename	1.1.1+ds-2
node-unset-value	2.0.1-1
node-uri-js	4.4.0+dfsg-8
node-util	0.12.5+~1.0.10-1
node-util-deprecate	1.0.2-3
node-uuid	8.3.2+~8.3.3-4
node-v8-compile-cache	2.4.0-2
node-v8flags	3.2.0+~3.1.1-1
node-validate-npm-package-license	3.0.4-2
node-validate-npm-package-name	5.0.0+~4.0.0-1
node-watchpack	2.4.0+~cs2.8.1-1
node-wcwidth.js	1.0.2-2
node-webassemblyjs	1.11.4+dfsg+~cs10.11.17-2
node-webpack-sources	3.2.3+~3.2.0-2
node-which	2.0.2+~cs1.3.2-3
node-wide-align	1.1.3-4
node-widest-line	3.1.0-2
node-wordwrap	1.0.0-4
node-wrap-ansi	8.0.1+~8.0.1-3
node-wrappy	1.0.2-3
node-write	2.0.0~6.0.1+~3.0.4+~2.0.0+~1.0.0+~2.0.1-1
node-write-file-atomic	4.0.2+~4.0.0-2
node-ws	8.11.0+~cs13.7.3-2
node-xtend	4.0.2-3
node-y18n	5.0.8+~5.0.0-3
node-yallist	4.0.0+~4.0.1-1
node-yaml	2.3.4-1build1
node-yargs	16.2.0+~16.0.4-7
node-yargs-parser	21.1.1+~21.0.0-4
nodejs	18.19.1+dfsg-6ubuntu5
nodejs-doc	18.19.1+dfsg-6ubuntu5
notification-daemon	3.20.0-4build3
npm	9.2.0~ds1-2
ntfs-3g	1:2022.10.3-1.2ubuntu3
numactl	2.0.18-1ubuntu0.24.04.1
ocl-icd-libopencl1	2.3.2-1build1
ocl-icd-libopencl1	2.3.2-1build1
open-iscsi	2.1.9-3ubuntu5.4
open-vm-tools	2:12.5.0-1~ubuntu0.24.04.2
openssh-client	1:9.6p1-3ubuntu13.14
openssh-server	1:9.6p1-3ubuntu13.14
openssh-sftp-server	1:9.6p1-3ubuntu13.14
openssl	3.0.13-0ubuntu3.7
os-prober	1.81ubuntu4
overlayroot	0.49~24.04.1
p11-kit	0.25.3-4ubuntu2.1
p11-kit-modules	0.25.3-4ubuntu2.1
packagekit	1.2.8-2ubuntu1.4
packagekit-tools	1.2.8-2ubuntu1.4
parted	3.6-4build1
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pavucontrol	5.0-2build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
perl-openssl-defaults	7build3
pigz	2.8-1
pinentry-curses	1.2.1-3ubuntu5
pinentry-gnome3	1.2.1-3ubuntu5
pipewire-module-xrdp	0.2-2
pkexec	124-2ubuntu1.24.04.2
plymouth	24.004.60-1ubuntu7.1
plymouth-label	24.004.60-1ubuntu7.1
plymouth-theme-ubuntu-text	24.004.60-1ubuntu7.1
policykit-1	124-2ubuntu1.24.04.2
policykit-1-gnome	0.105-7ubuntu5
polkitd	124-2ubuntu1.24.04.2
pollinate	4.33-3.1ubuntu1.1
poppler-data	0.4.12-1
poppler-utils	24.02.0-1ubuntu9.8
powermgmt-base	1.37ubuntu0.1
ppp	2.4.9-1+1.1ubuntu4
pptp-linux	1.10.0-1build4
procps	2:4.0.4-4ubuntu3.2
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pulseaudio	1:16.1+dfsg1-2ubuntu10.1
pulseaudio-utils	1:16.1+dfsg1-2ubuntu10.1
python-apt-common	2.7.7ubuntu5.2
python-babel-localedata	2.10.3-3build1
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.1-0ubuntu3.8
python3-apt	2.7.7ubuntu5.2
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-boto3	1.34.46+dfsg-1ubuntu1
python3-botocore	1.34.46+repack-1ubuntu1
python3-bpfcc	0.29.1+ds-1ubuntu7
python3-bs4	4.12.3-1
python3-cairo	1.25.1-2build2
python3-certifi	2023.11.17-1
python3-cffi-backend	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-cryptography	41.0.7-4ubuntu0.1
python3-cssselect	1.2.0-2
python3-cups	2.0.1-5build6
python3-cupshelpers	1.5.18-1ubuntu9
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-debian	0.1.49ubuntu2
python3-dev	3.12.3-0ubuntu2.1
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.28
python3-docx	1.1.0+dfsg-2
python3-gdbm	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-html5lib	1.1-6
python3-httplib2	0.20.4-3
python3-hyperlink	21.0.0-5
python3-ibus-1.0	1.5.29-2
python3-idna	3.6-2ubuntu0.1
python3-incremental	22.10.0-1
python3-jinja2	3.1.2-1ubuntu1.3
python3-jmespath	1.0.1-1
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-lxml	5.2.1-1
python3-magic	2:0.4.27-3
